idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,6.75,6.75,0,5,0,0,20,0,0,0
2,15.46,15.46,0,5,0,1,20,0,0,0
3,21.61,21.61,0,3,0,0,20,0,0,0
4,6.63,6.63,0,4,0,0,20,0,0,0
5,20.89,20.89,1,3,0,2,20,0,0,0
6,14.96,14.96,0,3,0,1,20,0,0,0
7,23.85,23.85,1,3,0,3,20,0,0,0
8,5.62,5.62,0,1,0,0,20,1,0,0
9,11.69,11.69,0,4,0,1,20,2,0,0
10,22.76,22.76,0,5,0,2,20,3,0,0
11,15.62,15.62,0,4,0,2,20,4,0,0
12,8.66,8.66,0,2,0,0,20,5,0,0
13,21.4,21.4,0,4,0,3,20,6,0,0
14,18.16,18.16,0,2,0,1,20,7,0,0
15,7.82,7.82,0,2,0,2,20,8,0,0
16,20.41,20.41,0,2,0,3,20,9,0,0
17,7.59,7.59,0,1,0,1,20,10,0,0
18,10.31,10.31,0,2,0,4,20,11,0,0
19,13.56,13.56,0,6,0,0,20,12,0,0
20,9.41,9.41,0,1,0,2,20,13,0,0
21,17.48,17.48,0,6,0,1,20,14,0,0
22,15.09,15.09,0,6,0,2,20,15,0,0
23,8.84,8.84,0,1,0,3,20,16,0,0
24,10.72,10.72,0,1,0,4,20,17,0,0
25,5.4,5.4,0,6,0,3,20,18,0,0
